"Daily hospital occupancy"
109689
110996
112009
112445
112114
111037
112401
114648
117527
118105
116273
113495
115520
118987
121424
122664
123921
123346
121053
122668
125595
127426
128858
129805
128819
127893
126426
126538
127639
127090
126585
133268
123790
121139
120835
120422
119383
117143
114100
111835
108127
107008
106268
104627
102664
100052
96111
92548
91438
90582
89004
87290
84604
82139
79113
77866
76870
75626
72859
70110
67539
64762
63300
62214
61504
62253
58309
56739
54402
53615
53026
51984
50965
49047
47229
45336
44874
43721
42650
42159
40176
39582
38207
37770
37687
37040
36666
35915
35648
34984
34413
34701
34577
34595
34104
34035
33214
33283
33742
33996
34368
34362
34634
33946
34464
35027
35418
35568
35571
35607
35195
35675
36624
37551
37752
37953
37856
37546
38089
38927
39201
39474
39188
39406
39012
39460
40212
40206
40051
39201
38562
37357
37133
37540
37207
36886
35988
35364
34005
33764
33964
33755
33349
32505
31832
30635
30154
29987
29482
29116
28174
27422
26184
25646
25563
25023
24929
23954
23397
22643
22445
22431
22087
21603
21056
20398
19474
19062
18678
18657
18087
17634
16970
16298
15987
15742
15630
15266
14838
14421
13940
13957
13929
13722
13496
13094
12855
12483
12503
12593
12539
12612
12397
12408
12238
12233
12510
12664
12881
12865
13236
12918
13121
13433
13974
14665
15074
15409
15710
16396
17330
18204
19085
19915
20874
21595
22564
24261
25700
27057
28605
30295
31469
33406
35748
38296
40482
42200
44541
46428
48538
51780
54470
56954
59587
62122
63544
66369
69838
72521
74850
76968
78580
79622
81624
84313
86744
88657
89427
90190
90417
92239
94682
95991
96009
96368
96192
95071
96125
97200
97820
98027
97811
96835
95082
95280
95910
96810
96525
95684
94559
91979
91541
92158
90633
89577
88250
86780
84373
83494
83675
82358
80874
79242
77387
74807
74161
73886
72525
70722
68918
67124
64834
64381
64486
63506
62392
61093
59459
57938
57494
57618
56985
55892
54564
53356
51835
51502
51723
50595
49315
48405
47452
46396
46112
46378
45821
45006
44195
43513
42764
42511
42623
42290
41982
41356
40944
40175
40471
41348
41730
41810
41717
41632
41371
41871
43285
44006
44369
45095
45157
44825
45373
46834
47702
47900
47296
48188
49068
50165
51812
52643
53310
53586
54392
54572
55670
57447
58938
59721
60371
61162
60921
61722
63084
63244
63229
63105
63090
62004
62545
63764
64086
65048
65661
65821
66446
69732
74692
79671
85514
89961
93776
96560
102693
108779
114863
121478
126993
131875
133605
137280
142248
145833
149706
151014
152055
149523
150019
150910
153236
154540
152940
150246
145689
144776
144760
143297
141701
137504
133319
127042
125814
124054
120532
117189
112678
107689
101694
99087
97280
93609
90123
86057
81534
76857
74367
72121
68741
65255
61872
58663
54818
52978
51326
49434
47085
45811
43436
40663
39327
37884
36224
34724
32908
30705
28535
27719
27074
25787
24766
23742
22400
21122
20423
19025
18522
17948
17395
16542
15662
15344
15073
14555
14175
13626
13103
12577
12206
12097
11812
11548
11297
10902
10529
10383
10516
10480
10421
10402
10223
9875
9867
10090
10116
10146
10172
10173
9832
10028
10347
